time_s,ecg_mv
2.076,0.0158
2.080,0.1479
2.084,0.3305
2.088,0.5634
2.092,0.7878
2.096,1.0289
2.100,1.1101
2.104,1.1062
2.108,0.9919
2.112,0.7561
2.116,0.4878
2.120,0.2379
2.124,0.0041
2.128,-0.1495
2.132,-0.2007
2.136,-0.2139
2.140,-0.1979
2.144,-0.1603
2.148,-0.0813
2.152,-0.0515
2.156,-0.0509
2.160,-0.0121
2.164,-0.0329
2.168,-0.0191
2.172,-0.0259
2.176,-0.0197
2.180,-0.0217
2.184,-0.0187
2.188,-0.0020
2.192,-0.0064
2.196,-0.0012
2.200,0.0058
2.204,-0.0099
2.208,-0.0021
2.212,0.0063
2.216,0.0239
2.220,0.0185
2.224,0.0294
2.228,0.0310
2.232,0.0384
2.236,0.0122
2.240,0.0533
2.244,0.0554
2.248,0.0648
2.252,0.0702
2.256,0.0849
2.260,0.1094
2.264,0.1298
2.268,0.1178
2.272,0.1550
2.276,0.1625
2.280,0.1748
2.284,0.2076
2.288,0.2152
2.292,0.2266
2.296,0.2395
2.300,0.2650
2.304,0.2726
2.308,0.2688
2.312,0.2787
2.316,0.2913
2.320,0.3005
2.324,0.2827
2.328,0.2983
2.332,0.2772
2.336,0.3122
2.340,0.2584
2.344,0.2484
2.348,0.2468
2.352,0.2187
2.356,0.2235
2.360,0.2184
2.364,0.1748
2.368,0.1641
2.372,0.1384
2.376,0.1275
2.380,0.1281
2.384,0.1058
2.388,0.0693
2.392,0.0848
2.396,0.0673
2.400,0.0474
2.404,0.0230
2.408,0.0222
2.412,0.0034
2.416,0.0111
2.420,-0.0047
2.424,-0.0333
2.428,-0.0002
2.432,-0.0131
2.436,-0.0058
2.440,-0.0233
2.444,-0.0218
2.448,-0.0127
2.452,-0.0230
2.456,-0.0256
2.460,0.0084
2.464,-0.0331
2.468,-0.0299
2.472,-0.0117
2.476,-0.0427
2.480,-0.0461
2.484,-0.0512
2.488,-0.0279
2.492,-0.0271
2.496,-0.0261
2.500,-0.0515
2.504,-0.0234
2.508,-0.0214
2.512,-0.0371
2.516,-0.0358
2.520,-0.0283
2.524,-0.0322
2.528,-0.0292
2.532,-0.0501
2.536,-0.0394
2.540,-0.0521
2.544,-0.0301
2.548,-0.0316
2.552,-0.0393
2.556,-0.0348
2.560,-0.0572
2.564,-0.0284
2.568,-0.0445
2.572,-0.0376
2.576,-0.0259
2.580,-0.0486
2.584,-0.0253
2.588,-0.0384
2.592,-0.0397
2.596,-0.0336
2.600,-0.0554
2.604,-0.0335
2.608,-0.0401
2.612,-0.0285
2.616,-0.0437
2.620,-0.0457
2.624,-0.0370
2.628,-0.0422
2.632,-0.0556
2.636,-0.0438
2.640,-0.0260
2.644,-0.0419
2.648,-0.0504
2.652,-0.0301
2.656,-0.0591
2.660,-0.0597
2.664,-0.0308
2.668,-0.0239
2.672,-0.0175
2.676,-0.0235
2.680,-0.0060
2.684,-0.0111
2.688,0.0192
2.692,0.0085
2.696,0.0375
2.700,0.0533
2.704,0.0386
2.708,0.0610
2.712,0.0819
2.716,0.0933
2.720,0.0560
2.724,0.0744
2.728,0.0490
2.732,0.0390
2.736,0.0639
2.740,0.0413
2.744,0.0119
2.748,0.0127
2.752,0.0070
2.756,-0.0082
2.760,0.0082
2.764,-0.0185
2.768,-0.0674
2.772,-0.0394
2.776,-0.0482
2.780,-0.0444
2.784,-0.0436
2.788,-0.0529
2.792,-0.0590
2.796,-0.0303
2.800,-0.0399
2.804,-0.0554
2.808,-0.0394
2.812,-0.0396
2.816,-0.0327
2.820,-0.0607
2.824,-0.0388
2.828,-0.0559
2.832,-0.0359
2.836,-0.0552
2.840,-0.0876
2.844,-0.0747
2.848,-0.1207
2.852,-0.1334
2.856,-0.1617
2.860,-0.1808
2.864,-0.1795
2.868,-0.1213
2.872,-0.0193
2.876,0.1350
2.880,0.3487
2.884,0.5735
2.888,0.7962
2.892,1.0094
2.896,1.0735
2.900,1.0664
2.904,0.9014
2.908,0.6666
2.912,0.4002
2.916,0.1312
2.920,-0.0521
2.924,-0.1941
2.928,-0.2273
2.932,-0.2635
2.936,-0.2099
2.940,-0.1671
2.944,-0.1411
2.948,-0.0750
2.952,-0.0819
2.956,-0.0843
2.960,-0.0419
2.964,-0.0371
2.968,-0.0483
2.972,-0.0514
2.976,-0.0286
2.980,-0.0384
2.984,-0.0539
2.988,-0.0360
2.992,-0.0582
2.996,-0.0482
3.000,-0.0519
3.004,-0.0629
3.008,-0.0473
3.012,-0.0145
3.016,-0.0377
3.020,-0.0255
3.024,-0.0264
3.028,0.0053
3.032,0.0034
3.036,0.0188
3.040,0.0223
3.044,0.0213
3.048,0.0365
3.052,0.0722
3.056,0.0764
3.060,0.1021
3.064,0.0713
3.068,0.1396
3.072,0.1376
3.076,0.1868
3.080,0.1716
3.084,0.1945
3.088,0.2176
3.092,0.2135
3.096,0.2474
3.100,0.2403
3.104,0.2726
3.108,0.2736
3.112,0.2746
3.116,0.2620
3.120,0.2677
3.124,0.2709
3.128,0.2375
3.132,0.2476
3.136,0.2557
3.140,0.2175
3.144,0.2347
3.148,0.1970
3.152,0.1926
3.156,0.1584
3.160,0.1610
3.164,0.1436
3.168,0.1346
3.172,0.1206
3.176,0.1033
3.180,0.0754
3.184,0.0437
3.188,0.0609
3.192,0.0170
3.196,0.0162
3.200,0.0202
3.204,0.0077
3.208,0.0136
3.212,-0.0125
3.216,-0.0387
3.220,-0.0268
3.224,-0.0257
3.228,-0.0356
3.232,-0.0174
3.236,-0.0398
3.240,-0.0560
3.244,-0.0347
3.248,-0.0553
3.252,-0.0221
3.256,-0.0400
3.260,-0.0606
3.264,-0.0312
3.268,-0.0160
3.272,-0.0687
3.276,-0.0339
3.280,-0.0390
3.284,-0.0427
3.288,-0.0406
3.292,-0.0388
3.296,-0.0529
3.300,-0.0275
3.304,-0.0605
3.308,-0.0207
3.312,-0.0258
3.316,-0.0582
3.320,-0.0439
3.324,-0.0266
3.328,-0.0494
3.332,-0.0453
3.336,-0.0480
3.340,-0.0290
3.344,-0.0502
3.348,-0.0428
3.352,-0.0361
3.356,-0.0449
3.360,-0.0526
3.364,-0.0581
3.368,-0.0601
3.372,-0.0559
3.376,-0.0622
3.380,-0.0501
3.384,-0.0376
3.388,-0.0403
3.392,-0.0507
3.396,-0.0529
3.400,-0.0524
3.404,-0.0569
3.408,-0.0549
3.412,-0.0313
3.416,-0.0566
3.420,-0.0393
3.424,-0.0467
3.428,-0.0100
3.432,-0.0605
3.436,-0.0364
3.440,-0.0425
3.444,-0.0476
3.448,-0.0343
3.452,-0.0360
3.456,-0.0505
3.460,-0.0324
3.464,-0.0326
3.468,-0.0213
3.472,-0.0441
3.476,-0.0189
3.480,-0.0387
3.484,-0.0597
3.488,-0.0293
3.492,-0.0360
3.496,-0.0448
3.500,-0.0220
3.504,-0.0375
3.508,-0.0177
3.512,-0.0283
3.516,-0.0148
3.520,-0.0111
3.524,-0.0079
3.528,-0.0189
3.532,0.0129
3.536,0.0119
3.540,0.0465
3.544,0.0398
3.548,0.0549
3.552,0.0482
3.556,0.0631
3.560,0.0781
3.564,0.0697
3.568,0.0737
3.572,0.0875
3.576,0.0858
3.580,0.0843
3.584,0.0879
3.588,0.0604
3.592,0.0627
3.596,0.0415
3.600,0.0296
3.604,0.0243
3.608,-0.0134
3.612,0.0035
3.616,-0.0122
3.620,-0.0216
3.624,-0.0378
3.628,-0.0239
3.632,-0.0437
3.636,-0.0125
3.640,-0.0270
3.644,-0.0450
3.648,-0.0333
3.652,-0.0163
3.656,-0.0325
3.660,-0.0286
3.664,-0.0295
3.668,-0.0264
3.672,-0.0450
3.676,-0.0249
3.680,-0.0310
3.684,0.0108
3.688,-0.0288
3.692,-0.0365
3.696,-0.0299
3.700,-0.0631
3.704,-0.0866
3.708,-0.1321
3.712,-0.1264
3.716,-0.1529
3.720,-0.1058
3.724,-0.0187
3.728,0.0890
3.732,0.2668
3.736,0.4918
3.740,0.7331
3.744,0.9317
3.748,1.0929
3.752,1.1082
3.756,1.0096
3.760,0.8042
3.764,0.5633
3.768,0.3014
3.772,0.0858
3.776,-0.1106
3.780,-0.2133
3.784,-0.2429
3.788,-0.1916
3.792,-0.1832
3.796,-0.1176
3.800,-0.0784
3.804,-0.0221
3.808,-0.0390
3.812,-0.0055
3.816,0.0008
3.820,-0.0153
3.824,-0.0066
3.828,-0.0298
3.832,-0.0114
3.836,-0.0118
3.840,-0.0388
3.844,-0.0012
3.848,0.0001
3.852,-0.0222
3.856,-0.0160
3.860,-0.0047
3.864,0.0019
3.868,0.0093
3.872,0.0069
3.876,0.0126
3.880,0.0356
3.884,0.0345
3.888,0.0483
3.892,0.0572
3.896,0.0770
3.900,0.0824
3.904,0.1083
3.908,0.1140
3.912,0.1391
3.916,0.1598
3.920,0.1444
3.924,0.1904
3.928,0.2183
3.932,0.2026
3.936,0.2309
3.940,0.2432
3.944,0.2680
3.948,0.2828
3.952,0.2808
3.956,0.3149
3.960,0.2971
3.964,0.3116
3.968,0.3290
3.972,0.3412
3.976,0.3100
3.980,0.3215
3.984,0.3084
3.988,0.2781
3.992,0.2750
3.996,0.2596
4.000,0.2541
4.004,0.2400
4.008,0.2294
4.012,0.2278
4.016,0.2006
4.020,0.2105
4.024,0.1591
4.028,0.1553
4.032,0.1353
4.036,0.1338
4.040,0.0975
4.044,0.0996
4.048,0.0975
4.052,0.0589
4.056,0.0573
4.060,0.0561
4.064,0.0377
4.068,0.0262
4.072,0.0535
4.076,0.0243
4.080,0.0441
4.084,0.0142
4.088,0.0153
4.092,0.0254
4.096,0.0118
4.100,0.0023
4.104,0.0036
4.108,0.0148
4.112,0.0031
4.116,0.0119
4.120,-0.0164
4.124,0.0040
4.128,0.0086
4.132,0.0047
4.136,-0.0009
4.140,0.0006
4.144,0.0123
4.148,0.0295
4.152,-0.0049
4.156,0.0089
4.160,0.0242
4.164,0.0168
4.168,0.0119
4.172,0.0080
4.176,0.0138
4.180,0.0127
4.184,-0.0120
4.188,0.0060
4.192,-0.0085
4.196,0.0306
4.200,0.0253
4.204,0.0063
4.208,0.0257
4.212,0.0457
4.216,0.0092
4.220,0.0325
4.224,0.0216
4.228,0.0147
4.232,0.0045
4.236,0.0114
4.240,0.0137
4.244,-0.0091
4.248,0.0254
4.252,0.0154
4.256,0.0251
4.260,0.0148
4.264,0.0561
4.268,0.0005
4.272,0.0095
4.276,0.0295
4.280,0.0496
4.284,0.0097
4.288,0.0438
4.292,0.0111
4.296,0.0379
4.300,0.0236
4.304,0.0497
4.308,0.0446
4.312,0.0158
4.316,0.0590
4.320,0.0106
4.324,0.0206
4.328,0.0463
4.332,0.0161
4.336,0.0175
4.340,0.0270
4.344,0.0312
4.348,0.0307
4.352,0.0173
4.356,0.0290
4.360,0.0346
4.364,0.0453
4.368,0.0317
4.372,0.0133
4.376,0.0293
4.380,0.0225
4.384,0.0471
4.388,0.0130
4.392,0.0422
4.396,0.0260
4.400,0.0583
4.404,0.0577
4.408,0.0578
4.412,0.0693
4.416,0.0685
4.420,0.0912
4.424,0.0940
4.428,0.1152
4.432,0.1188
4.436,0.0993
4.440,0.1323
4.444,0.1641
4.448,0.1681
4.452,0.1538
4.456,0.1499
4.460,0.1433
4.464,0.1481
4.468,0.1386
4.472,0.1096
4.476,0.1181
4.480,0.1135
4.484,0.0763
4.488,0.0754
4.492,0.0742
4.496,0.0696
4.500,0.0495
4.504,0.0432
4.508,0.0401
4.512,0.0475
4.516,0.0460
4.520,0.0392
4.524,0.0222
4.528,0.0250
4.532,0.0455
4.536,0.0231
4.540,0.0405
4.544,0.0335
4.548,0.0308
4.552,0.0385
4.556,0.0584
4.560,0.0419
4.564,0.0346
4.568,0.0192
4.572,0.0393
4.576,0.0380
4.580,0.0147
4.584,-0.0049
4.588,-0.0452
4.592,-0.0939
4.596,-0.0870
4.600,-0.0559
4.604,0.0120
4.608,0.1090
4.612,0.2746
4.616,0.4868
4.620,0.7350
4.624,0.9624
4.628,1.1295
4.632,1.1904
4.636,1.1071
4.640,0.9245
4.644,0.6834
4.648,0.4264
4.652,0.1769
4.656,-0.0047
4.660,-0.1424
4.664,-0.1868
4.668,-0.1469
4.672,-0.1196
4.676,-0.0837
4.680,-0.0120
4.684,0.0127
4.688,0.0642
4.692,0.0535
4.696,0.0471
4.700,0.0431
4.704,0.0487
4.708,0.0455
4.712,0.0302
4.716,0.0595
4.720,0.0528
4.724,0.0179
4.728,0.0450
4.732,0.0448
4.736,0.0690
4.740,0.0597
4.744,0.0817
4.748,0.0490
4.752,0.0602
4.756,0.0918
4.760,0.0779
4.764,0.0809
4.768,0.0961
4.772,0.1032
4.776,0.1299
4.780,0.1490
4.784,0.1298
4.788,0.1596
4.792,0.1785
4.796,0.1954
4.800,0.2211
4.804,0.2296
4.808,0.2385
4.812,0.2494
4.816,0.2578
4.820,0.2915
4.824,0.3114
4.828,0.3363
4.832,0.3332
4.836,0.3763
4.840,0.3561
4.844,0.3575
4.848,0.3718
4.852,0.3570
4.856,0.3701
4.860,0.3392
4.864,0.3661
4.868,0.3505
4.872,0.3419
4.876,0.3290
4.880,0.2981
4.884,0.2875
4.888,0.3010
4.892,0.2714
4.896,0.2412
4.900,0.2362
4.904,0.2191
4.908,0.2211
4.912,0.1950
4.916,0.1714
4.920,0.1469
4.924,0.1605
4.928,0.1258
4.932,0.1056
4.936,0.0915
4.940,0.0870
4.944,0.0853
4.948,0.0921
4.952,0.0881
4.956,0.0860
4.960,0.0698
4.964,0.0745
4.968,0.0887
4.972,0.0701
4.976,0.0764
4.980,0.0375
4.984,0.0455
4.988,0.0443
4.992,0.0204
4.996,0.0528
5.000,0.0682
5.004,0.0447
5.008,0.0531
5.012,0.0403
5.016,0.0445
5.020,0.0537
5.024,0.0358
5.028,0.0642
5.032,0.0270
5.036,0.0539
5.040,0.0441
5.044,0.0678
5.048,0.0590
5.052,0.0248
5.056,0.0207
5.060,0.0378
5.064,0.0437
5.068,0.0475
5.072,0.0500
5.076,0.0577
5.080,0.0332
5.084,0.0280
5.088,0.0526
5.092,0.0451
5.096,0.0482
5.100,0.0417
5.104,0.0473
5.108,0.0671
5.112,0.0297
5.116,0.0345
5.120,0.0568
5.124,0.0679
5.128,0.0465
5.132,0.0338
5.136,0.0248
5.140,0.0519
5.144,0.0337
5.148,0.0748
5.152,0.0767
5.156,0.0512
5.160,0.0543
5.164,0.0469
5.168,0.0620
5.172,0.0482
5.176,0.0489
5.180,0.0644
5.184,0.0555
5.188,0.0736
5.192,0.0284
5.196,0.0415
5.200,0.0376
5.204,0.0590
5.208,0.0437
5.212,0.0580
5.216,0.0385
5.220,0.0538
5.224,0.0858
5.228,0.0823
5.232,0.0457
5.236,0.0796
5.240,0.0935
5.244,0.0872
5.248,0.0905
5.252,0.1230
5.256,0.1278
5.260,0.1442
5.264,0.1457
5.268,0.1838
5.272,0.1508
5.276,0.1589
5.280,0.1712
5.284,0.1708
5.288,0.1398
5.292,0.1637
5.296,0.1207
5.300,0.1270
5.304,0.1115
5.308,0.0951
5.312,0.1062
5.316,0.0544
5.320,0.0650
5.324,0.0554
5.328,0.0707
5.332,0.0739
5.336,0.0609
5.340,0.0655
5.344,0.0200
5.348,0.0471
5.352,0.0275
5.356,0.0388
5.360,0.0457
5.364,0.0435
5.368,0.0586
5.372,0.0181
5.376,0.0316
5.380,0.0236
5.384,0.0215
5.388,0.0528
5.392,0.0420
5.396,0.0560
5.400,0.0455
5.404,0.0195
5.408,-0.0146
5.412,-0.0213
5.416,-0.0734
5.420,-0.1003
5.424,-0.0950
5.428,-0.0378
5.432,0.0616
5.436,0.1803
5.440,0.3766
5.444,0.5867
5.448,0.8201
5.452,1.0680
5.456,1.1841
5.460,1.1695
5.464,1.0340
5.468,0.8035
5.472,0.5595
5.476,0.2890
5.480,0.0795
5.484,-0.0746
5.488,-0.1545
5.492,-0.1644
5.496,-0.1483
5.500,-0.1128
5.504,-0.0637
5.508,-0.0081
5.512,-0.0025
5.516,0.0330
5.520,0.0395
5.524,0.0331
5.528,0.0252
5.532,0.0137
5.536,0.0219
5.540,0.0164
5.544,0.0369
5.548,0.0321
5.552,0.0275
5.556,0.0505
5.560,0.0435
5.564,0.0449
5.568,0.0539
5.572,0.0632
5.576,0.0358
5.580,0.0685
5.584,0.0443
5.588,0.0633
5.592,0.0929
5.596,0.0980
5.600,0.1077
5.604,0.1131
5.608,0.1402
5.612,0.1181
5.616,0.1473
5.620,0.1668
5.624,0.2067
5.628,0.2111
5.632,0.2281
5.636,0.2235
5.640,0.2764
5.644,0.2714
5.648,0.2692
5.652,0.3238
5.656,0.2915
5.660,0.3096
5.664,0.3266
5.668,0.3248
5.672,0.3478
5.676,0.3473
5.680,0.3452
5.684,0.3640
5.688,0.3166
5.692,0.3452
5.696,0.3093
5.700,0.3252
5.704,0.3172
5.708,0.3072
5.712,0.2614
5.716,0.2330
5.720,0.2336
5.724,0.2116
5.728,0.1736
5.732,0.1864
5.736,0.1498
5.740,0.1623
5.744,0.1415
5.748,0.1124
5.752,0.1032
5.756,0.0879
5.760,0.0746
5.764,0.1075
5.768,0.0505
5.772,0.0549
5.776,0.0595
5.780,0.0373
5.784,0.0294
5.788,0.0168
5.792,0.0435
5.796,0.0348
5.800,0.0294
5.804,0.0035
5.808,0.0259
5.812,0.0219
5.816,0.0132
5.820,-0.0003
5.824,0.0147
5.828,0.0042
5.832,0.0149
5.836,0.0142
5.840,0.0089
5.844,0.0231
5.848,0.0113
5.852,0.0181
5.856,0.0164
5.860,0.0231
5.864,-0.0009
5.868,0.0062
5.872,0.0211
5.876,0.0115
5.880,0.0229
5.884,0.0180
5.888,0.0034
5.892,0.0190
5.896,0.0050
5.900,0.0193
5.904,0.0298
5.908,0.0203
5.912,0.0344
5.916,-0.0120
5.920,-0.0003
5.924,0.0028
5.928,0.0008
5.932,0.0098
5.936,0.0006
5.940,0.0180
5.944,0.0162
5.948,0.0090
5.952,-0.0084
5.956,0.0100
5.960,0.0112
5.964,0.0071
5.968,0.0029
5.972,0.0190
5.976,-0.0046
5.980,-0.0027
5.984,0.0095
5.988,0.0077
5.992,0.0115
5.996,-0.0021
6.000,-0.0142
6.004,-0.0126
6.008,-0.0019
6.012,0.0144
6.016,0.0168
6.020,-0.0112
6.024,0.0215
6.028,0.0197
6.032,0.0153
6.036,0.0625
6.040,0.0490
